#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100000380000000,-0.010017611,0.507518053,1.123045921,-0.058055997,-0.182633340,10.974287033
100000390000000,0.017038666,0.509119391,0.883400142,-0.051969886,-0.159128606,10.975665092
100000400000000,0.038002402,0.497826129,0.679830551,-0.045821309,-0.122541904,10.979543686
100000410000000,0.059954736,0.486065894,0.500372171,-0.037217498,-0.094175488,10.978900909
100000420000000,0.078540832,0.476719916,0.345351905,-0.029089570,-0.075012475,10.976408005
100000430000000,0.096969090,0.462942928,0.213992059,-0.029311061,-0.065505266,10.984609604
100000440000000,0.112373650,0.449205190,0.105446242,-0.023630738,-0.038317144,10.986602783
100000450000000,0.129352108,0.429336995,0.016579747,-0.011744261,-0.014461815,10.993124008
100000460000000,0.138026103,0.407964230,-0.055233326,-0.006032705,-0.026657164,10.994015694
100000470000000,0.146108642,0.380271286,-0.108765289,-0.001709819,-0.009549677,11.005866051
100000480000000,0.148923382,0.360068232,-0.154833198,0.012147903,0.000286996,10.999837875
100000490000000,0.154467851,0.337048948,-0.175464034,0.008859158,-0.001299679,10.993677139
100000500000000,0.158930868,0.312229276,-0.200006008,0.032819271,0.016002417,11.000425339
100000510000000,0.151376098,0.288845599,-0.211678952,0.011005640,0.009088576,10.998514175
100000520000000,0.150365353,0.261656016,-0.220823884,0.010192871,-0.000439167,10.993332863
100000530000000,0.149052277,0.240912721,-0.223827362,0.019276977,0.002054989,10.993265152
100000540000000,0.144261032,0.217604563,-0.213998482,0.023190856,0.007464290,11.002267838
100000550000000,0.129563928,0.193121776,-0.207704321,0.028173089,0.004738748,11.004492760
100000560000000,0.121739462,0.173472330,-0.197028309,0.039891362,0.019295633,10.995742798
100000570000000,0.117830314,0.142674103,-0.185137063,0.026882291,0.008313000,10.997283936
100000580000000,0.106663801,0.124590576,-0.170464471,0.040179610,-0.000920773,11.005971909
100000590000000,0.100508004,0.100521781,-0.154100776,0.033942580,0.004275203,11.004398346
100000600000000,0.088769376,0.084467471,-0.139732912,0.037590981,0.000811636,10.995985031
100000610000000,0.079613902,0.056918386,-0.126392245,0.037587523,0.004074156,11.011375427
100000620000000,0.068257131,0.040259521,-0.113806710,0.031144857,-0.010801256,10.998872757
100000630000000,0.059174053,0.021728709,-0.103624314,0.028130770,-0.005102634,10.978178978
100000640000000,0.047224458,0.006073073,-0.086910486,0.030368209,-0.019863367,10.994798660
100000650000000,0.032034375,-0.009285353,-0.076752514,0.041245341,-0.007816374,10.991756439
100000660000000,0.031123539,-0.026948417,-0.066056997,0.029343605,-0.001221001,10.993072510
100000670000000,0.020318957,-0.040242538,-0.058290027,0.031743884,-0.016663730,10.986116409
100000680000000,0.014685815,-0.055203497,-0.051439978,0.035256982,-0.003249764,10.989597321
100000690000000,0.002578265,-0.063135371,-0.035814270,0.026963830,-0.015683234,10.977992058
