#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000810000000,-0.090606,-0.043818,0.523820,0.246301,0.043913,0.014901,-0.968083,-0.333997,-0.182413,0.144705
100000820000000,-0.094031,-0.045702,0.525283,0.246365,0.043683,0.014744,-0.968080,-0.341751,-0.187452,0.146002
100000830000000,-0.097534,-0.047636,0.526760,0.246408,0.043441,0.014570,-0.968082,-0.349469,-0.192451,0.147298
100000840000000,-0.101113,-0.049621,0.528249,0.246436,0.043187,0.014378,-0.968090,-0.357147,-0.197403,0.148595
100000850000000,-0.104769,-0.051655,0.529752,0.246449,0.042924,0.014173,-0.968101,-0.364786,-0.202307,0.149894
100000860000000,-0.108502,-0.053738,0.531268,0.246452,0.042653,0.013955,-0.968115,-0.372384,-0.207157,0.151196
100000870000000,-0.112310,-0.055869,0.532797,0.246446,0.042376,0.013725,-0.968132,-0.379940,-0.211952,0.152502
100000880000000,-0.116194,-0.058048,0.534339,0.246433,0.042093,0.013488,-0.968151,-0.387454,-0.216689,0.153813
100000890000000,-0.120152,-0.060274,0.535895,0.246415,0.041806,0.013243,-0.968172,-0.394926,-0.221367,0.155130
100000900000000,-0.124185,-0.062547,0.537463,0.246394,0.041516,0.012992,-0.968193,-0.402354,-0.225982,0.156453
100000910000000,-0.128292,-0.064865,0.539045,0.246370,0.041224,0.012737,-0.968215,-0.409739,-0.230535,0.157784
100000920000000,-0.132472,-0.067228,0.540641,0.246346,0.040930,0.012480,-0.968237,-0.417080,-0.235024,0.159123
100000930000000,-0.136725,-0.069635,0.542250,0.246321,0.040636,0.012222,-0.968259,-0.424377,-0.239449,0.160471
100000940000000,-0.141051,-0.072086,0.543873,0.246296,0.040342,0.011963,-0.968281,-0.431631,-0.243810,0.161827
100000950000000,-0.145448,-0.074580,0.545509,0.246273,0.040049,0.011707,-0.968302,-0.438841,-0.248106,0.163193
100000960000000,-0.149918,-0.077116,0.547159,0.246250,0.039757,0.011452,-0.968323,-0.446007,-0.252338,0.164569
