#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100002650000000,0.000091224,-0.081131168,0.000000698,0.007078141,0.000010520,9.721357346
100002660000000,0.000091524,-0.080745757,0.000001460,0.007026076,0.000009976,9.719285965
100002670000000,0.000091501,-0.080347553,0.000001836,0.006955832,0.000008889,9.717233658
100002680000000,0.000091466,-0.079937369,0.000001991,0.006886929,0.000009127,9.715199471
100002690000000,0.000091191,-0.079515994,0.000001375,0.006819993,0.000007741,9.713184357
100002700000000,0.000090654,-0.079083882,0.000000682,0.006753743,0.000007324,9.711191177
100002710000000,0.000089838,-0.078641288,0.000000485,0.006688178,0.000006847,9.709211349
100002720000000,0.000089118,-0.078188136,-0.000000384,0.006622434,0.000006318,9.707253456
100002730000000,0.000088367,-0.077723913,-0.000001020,0.006555617,0.000006355,9.705307007
100002740000000,0.000087403,-0.077248350,-0.000001464,0.006488591,0.000006132,9.703385353
100002750000000,0.000086433,-0.076761007,-0.000001759,0.006420821,0.000006393,9.701483727
100002760000000,0.000085469,-0.076261349,-0.000001820,0.006351709,0.000006326,9.699601173
100002770000000,0.000084159,-0.075749084,-0.000001830,0.006267756,0.000005253,9.697734833
100002780000000,0.000082753,-0.075225420,-0.000001713,0.006200582,0.000005163,9.695892334
100002790000000,0.000081306,-0.074688628,-0.000001112,0.006115586,0.000005268,9.694068909
100002800000000,0.000079706,-0.074140474,-0.000000475,0.006033510,0.000005051,9.692262650
100002810000000,0.000078031,-0.073581241,-0.000000257,0.005967677,0.000004299,9.690478325
100002820000000,0.000076284,-0.073010154,0.000000162,0.005884945,0.000004195,9.688714981
100002830000000,0.000074626,-0.072426654,0.000001207,0.005801678,0.000004768,9.686966896
100002840000000,0.000072841,-0.071831703,0.000002110,0.005720168,0.000004068,9.685245514
100002850000000,0.000070797,-0.071224898,0.000002786,0.005637974,0.000003003,9.683539391
100002860000000,0.000068874,-0.070605963,0.000002887,0.005555242,0.000002854,9.681859016
100002870000000,0.000067087,-0.069975384,0.000002821,0.005473435,0.000003047,9.680198669
