#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000790000000,0.894379,-0.017087,0.013094,0.998718,-0.006205,-0.045127,-0.022081,1.379303,-0.061671,0.047645
100000800000000,0.908216,-0.017711,0.013576,0.998691,-0.006240,-0.045539,-0.022442,1.388096,-0.063078,0.048753
100000810000000,0.922142,-0.018349,0.014069,0.998664,-0.006275,-0.045947,-0.022801,1.396967,-0.064497,0.049870
100000820000000,0.936156,-0.019001,0.014573,0.998637,-0.006309,-0.046352,-0.023159,1.405916,-0.065928,0.050998
100000830000000,0.950260,-0.019668,0.015089,0.998610,-0.006342,-0.046752,-0.023515,1.414943,-0.067370,0.052136
100000840000000,0.964455,-0.020349,0.015616,0.998582,-0.006374,-0.047149,-0.023868,1.424046,-0.068823,0.053283
100000850000000,0.978741,-0.021044,0.016155,0.998555,-0.006405,-0.047542,-0.024220,1.433225,-0.070288,0.054441
100000860000000,0.993120,-0.021754,0.016705,0.998528,-0.006435,-0.047932,-0.024571,1.442478,-0.071763,0.055607
100000870000000,1.007591,-0.022479,0.017267,0.998500,-0.006465,-0.048317,-0.024919,1.451806,-0.073249,0.056784
100000880000000,1.022156,-0.023219,0.017841,0.998473,-0.006494,-0.048699,-0.025264,1.461208,-0.074746,0.057969
100000890000000,1.036816,-0.023974,0.018426,0.998445,-0.006522,-0.049077,-0.025608,1.470682,-0.076254,0.059164
100000900000000,1.051570,-0.024744,0.019024,0.998418,-0.006549,-0.049451,-0.025950,1.480229,-0.077772,0.060368
100000910000000,1.066420,-0.025530,0.019634,0.998390,-0.006576,-0.049821,-0.026289,1.489847,-0.079301,0.061582
100000920000000,1.081367,-0.026330,0.020256,0.998363,-0.006602,-0.050188,-0.026626,1.499535,-0.080839,0.062804
100000930000000,1.096411,-0.027147,0.020890,0.998335,-0.006627,-0.050551,-0.026961,1.509294,-0.082388,0.064036
100000940000000,1.111553,-0.027978,0.021536,0.998308,-0.006651,-0.050910,-0.027294,1.519121,-0.083947,0.065276
100000950000000,1.126794,-0.028826,0.022195,0.998281,-0.006675,-0.051266,-0.027624,1.529017,-0.085515,0.066525
100000960000000,1.142134,-0.029689,0.022867,0.998253,-0.006698,-0.051618,-0.027952,1.538981,-0.087093,0.067783
100000970000000,1.157574,-0.030567,0.023551,0.998226,-0.006720,-0.051966,-0.028278,1.549012,-0.088681,0.069050
100000980000000,1.173114,-0.031462,0.024248,0.998199,-0.006742,-0.052310,-0.028601,1.559109,-0.090278,0.070325
100000990000000,1.188756,-0.032373,0.024957,0.998171,-0.006763,-0.052651,-0.028921,1.569272,-0.091885,0.071608
100001000000000,1.204500,-0.033300,0.025680,0.998144,-0.006783,-0.052988,-0.029239,1.579500,-0.093500,0.072900
100001010000000,1.220346,-0.034243,0.026415,0.998117,-0.006803,-0.053321,-0.029555,1.589792,-0.095124,0.074200
100001020000000,1.236296,-0.035203,0.027164,0.998090,-0.006822,-0.053651,-0.029868,1.600147,-0.096758,0.075508
100001030000000,1.252349,-0.036178,0.027926,0.998063,-0.006840,-0.053977,-0.030179,1.610566,-0.098400,0.076825
100001040000000,1.268507,-0.037171,0.028701,0.998036,-0.006858,-0.054299,-0.030487,1.621046,-0.100051,0.078149
100001050000000,1.284771,-0.038179,0.029489,0.998009,-0.006875,-0.054618,-0.030793,1.631588,-0.101710,0.079482
100001060000000,1.301139,-0.039205,0.030290,0.997982,-0.006891,-0.054933,-0.031096,1.642190,-0.103377,0.080822
100001070000000,1.317615,-0.040247,0.031105,0.997955,-0.006907,-0.055245,-0.031396,1.652853,-0.105053,0.082170
100001080000000,1.334197,-0.041306,0.031934,0.997929,-0.006922,-0.055553,-0.031694,1.663574,-0.106737,0.083526
100001090000000,1.350886,-0.042382,0.032776,0.997902,-0.006937,-0.055857,-0.031989,1.674355,-0.108429,0.084889
100001100000000,1.367684,-0.043474,0.033631,0.997876,-0.006951,-0.056158,-0.032282,1.685193,-0.110128,0.086260
100001110000000,1.384591,-0.044584,0.034501,0.997849,-0.006965,-0.056455,-0.032572,1.696088,-0.111835,0.087638
