#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000720000000,0.184417,0.107742,0.488083,0.962206,-0.025123,0.100095,0.252010,0.805813,0.444098,0.035802
100000730000000,0.192691,0.112296,0.488438,0.962298,-0.025008,0.099160,0.252039,0.823660,0.453896,0.034758
100000740000000,0.201143,0.116948,0.488782,0.962394,-0.024881,0.098180,0.252069,0.841327,0.463621,0.033711
100000750000000,0.209772,0.121698,0.489117,0.962494,-0.024741,0.097158,0.252099,0.858809,0.473271,0.032663
100000760000000,0.218575,0.126544,0.489441,0.962596,-0.024589,0.096097,0.252130,0.876098,0.482840,0.031617
100000770000000,0.227550,0.131486,0.489755,0.962701,-0.024426,0.095000,0.252161,0.893187,0.492324,0.030576
100000780000000,0.236695,0.136522,0.490060,0.962808,-0.024251,0.093870,0.252192,0.910071,0.501720,0.029542
100000790000000,0.246008,0.141653,0.490355,0.962917,-0.024064,0.092710,0.252223,0.926744,0.511025,0.028518
100000800000000,0.255487,0.146876,0.490639,0.963027,-0.023867,0.091523,0.252254,0.943201,0.520233,0.027504
100000810000000,0.265129,0.152192,0.490914,0.963139,-0.023659,0.090311,0.252285,0.959439,0.529343,0.026504
100000820000000,0.274932,0.157597,0.491180,0.963251,-0.023440,0.089076,0.252315,0.975453,0.538351,0.025519
100000830000000,0.284893,0.163093,0.491436,0.963364,-0.023211,0.087821,0.252345,0.991240,0.547255,0.024549
100000840000000,0.295011,0.168677,0.491683,0.963477,-0.022972,0.086549,0.252374,1.006797,0.556050,0.023596
100000850000000,0.305282,0.174348,0.491922,0.963591,-0.022724,0.085260,0.252404,1.022121,0.564735,0.022661
100000860000000,0.315705,0.180106,0.492151,0.963703,-0.022467,0.083957,0.252432,1.037210,0.573308,0.021746
100000870000000,0.326276,0.185949,0.492371,0.963816,-0.022201,0.082641,0.252461,1.052061,0.581765,0.020849
100000880000000,0.336994,0.191875,0.492583,0.963928,-0.021926,0.081314,0.252489,1.066673,0.590104,0.019974
100000890000000,0.347856,0.197884,0.492787,0.964039,-0.021643,0.079976,0.252517,1.081044,0.598325,0.019119
100000900000000,0.358860,0.203975,0.492983,0.964149,-0.021353,0.078631,0.252544,1.095174,0.606423,0.018285
100000910000000,0.370002,0.210146,0.493170,0.964257,-0.021055,0.077278,0.252572,1.109060,0.614399,0.017473
100000920000000,0.381282,0.216395,0.493350,0.964365,-0.020750,0.075918,0.252599,1.122702,0.622249,0.016683
100000930000000,0.392695,0.222722,0.493523,0.964471,-0.020437,0.074553,0.252625,1.136100,0.629973,0.015914
100000940000000,0.404240,0.229126,0.493688,0.964576,-0.020119,0.073183,0.252652,1.149252,0.637569,0.015168
100000950000000,0.415914,0.235604,0.493847,0.964679,-0.019794,0.071809,0.252678,1.162158,0.645035,0.014444
100000960000000,0.427714,0.242156,0.493998,0.964780,-0.019464,0.070432,0.252704,1.174818,0.652371,0.013741
100000970000000,0.439639,0.248780,0.494143,0.964880,-0.019128,0.069052,0.252729,1.187232,0.659574,0.013061
100000980000000,0.451686,0.255475,0.494282,0.964978,-0.018787,0.067669,0.252755,1.199399,0.666645,0.012403
100000990000000,0.463851,0.262239,0.494414,0.965074,-0.018441,0.066284,0.252780,1.211320,0.673581,0.011766
100001000000000,0.476134,0.269072,0.494540,0.965169,-0.018090,0.064898,0.252804,1.222994,0.680382,0.011151
100001010000000,0.488530,0.275972,0.494661,0.965261,-0.017736,0.063511,0.252829,1.234421,0.687047,0.010556
