#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100001220000000,-0.073782,0.126730,0.628230,0.498472,-0.018323,0.009519,0.866660,-0.164177,0.288197,0.289107
100001230000000,-0.075448,0.129648,0.631152,0.498472,-0.018281,0.009532,0.866660,-0.166432,0.291718,0.292195
100001240000000,-0.077137,0.132600,0.634106,0.498473,-0.018239,0.009546,0.866661,-0.168679,0.295238,0.295301
100001250000000,-0.078848,0.135588,0.637090,0.498473,-0.018197,0.009559,0.866661,-0.170918,0.298756,0.298424
100001260000000,-0.080581,0.138611,0.640106,0.498473,-0.018156,0.009572,0.866662,-0.173148,0.302273,0.301565
100001270000000,-0.082336,0.141670,0.643154,0.498473,-0.018115,0.009584,0.866663,-0.175370,0.305789,0.304721
100001280000000,-0.084114,0.144763,0.646233,0.498473,-0.018075,0.009596,0.866663,-0.177584,0.309303,0.307894
100001290000000,-0.085913,0.147892,0.649344,0.498473,-0.018034,0.009608,0.866664,-0.179791,0.312816,0.311082
100001300000000,-0.087735,0.151055,0.652488,0.498473,-0.017995,0.009619,0.866665,-0.181989,0.316327,0.314286
100001310000000,-0.089578,0.154254,0.655663,0.498473,-0.017956,0.009630,0.866665,-0.184179,0.319837,0.317504
100001320000000,-0.091443,0.157488,0.658871,0.498473,-0.017917,0.009640,0.866666,-0.186362,0.323345,0.320736
100001330000000,-0.093330,0.160757,0.662111,0.498473,-0.017878,0.009649,0.866667,-0.188537,0.326852,0.323981
100001340000000,-0.095239,0.164061,0.665384,0.498473,-0.017839,0.009657,0.866668,-0.190705,0.330356,0.327240
100001350000000,-0.097169,0.167400,0.668690,0.498473,-0.017801,0.009665,0.866668,-0.192865,0.333859,0.330512
100001360000000,-0.099121,0.170774,0.672028,0.498473,-0.017763,0.009672,0.866669,-0.195018,0.337359,0.333795
100001370000000,-0.101094,0.174183,0.675399,0.498473,-0.017725,0.009678,0.866670,-0.197164,0.340858,0.337090
100001380000000,-0.103088,0.177627,0.678804,0.498473,-0.017687,0.009683,0.866671,-0.199303,0.344354,0.340396
100001390000000,-0.105104,0.181106,0.682241,0.498472,-0.017650,0.009688,0.866672,-0.201435,0.347847,0.343712
100001400000000,-0.107141,0.184620,0.685712,0.498472,-0.017613,0.009691,0.866672,-0.203560,0.351338,0.347038
100001410000000,-0.109199,0.188169,0.689216,0.498472,-0.017575,0.009693,0.866673,-0.205679,0.354825,0.350374
100001420000000,-0.111278,0.191753,0.692754,0.498472,-0.017538,0.009695,0.866674,-0.207790,0.358310,0.353719
100001430000000,-0.113379,0.195372,0.696325,0.498472,-0.017500,0.009695,0.866675,-0.209896,0.361792,0.357071
100001440000000,-0.115500,0.199025,0.699930,0.498472,-0.017463,0.009695,0.866675,-0.211994,0.365270,0.360432
100001450000000,-0.117642,0.202714,0.703568,0.498472,-0.017425,0.009694,0.866676,-0.214087,0.368744,0.363800
100001460000000,-0.119805,0.206437,0.707241,0.498472,-0.017387,0.009691,0.866677,-0.216173,0.372215,0.367174
100001470000000,-0.121989,0.210194,0.710947,0.498472,-0.017349,0.009688,0.866678,-0.218252,0.375681,0.370555
100001480000000,-0.124193,0.213987,0.714687,0.498472,-0.017310,0.009683,0.866679,-0.220325,0.379143,0.373941
100001490000000,-0.126419,0.217814,0.718461,0.498472,-0.017271,0.009678,0.866679,-0.222392,0.382601,0.377332
100001500000000,-0.128664,0.221675,0.722268,0.498473,-0.017232,0.009672,0.866680,-0.224453,0.386054,0.380728
100001510000000,-0.130931,0.225571,0.726110,0.498473,-0.017192,0.009665,0.866681,-0.226508,0.389502,0.384127
100001520000000,-0.133218,0.229502,0.729986,0.498473,-0.017153,0.009656,0.866682,-0.228556,0.392945,0.387530
100001530000000,-0.135525,0.233467,0.733896,0.498473,-0.017113,0.009647,0.866682,-0.230599,0.396382,0.390936
100001540000000,-0.137852,0.237466,0.737840,0.498473,-0.017072,0.009637,0.866683,-0.232635,0.399814,0.394344
100001550000000,-0.140200,0.241500,0.741818,0.498474,-0.017031,0.009626,0.866684,-0.234665,0.403240,0.397754
100001560000000,-0.142568,0.245567,0.745830,0.498474,-0.016989,0.009614,0.866685,-0.236689,0.406660,0.401165
100001570000000,-0.144957,0.249670,0.749877,0.498474,-0.016947,0.009601,0.866686,-0.238707,0.410074,0.404577
100001580000000,-0.147365,0.253806,0.753957,0.498474,-0.016904,0.009587,0.866687,-0.240719,0.413481,0.407990
100001590000000,-0.149794,0.257976,0.758072,0.498475,-0.016861,0.009573,0.866687,-0.242724,0.416881,0.411402
100001600000000,-0.152242,0.262180,0.762221,0.498475,-0.016817,0.009557,0.866688,-0.244724,0.420274,0.414813
100001610000000,-0.154710,0.266418,0.766403,0.498475,-0.016772,0.009541,0.866689,-0.246717,0.423660,0.418223
100001620000000,-0.157199,0.270690,0.770620,0.498476,-0.016726,0.009523,0.866690,-0.248704,0.427039,0.421631
100001630000000,-0.159707,0.274996,0.774871,0.498476,-0.016680,0.009505,0.866691,-0.250685,0.430409,0.425037
100001640000000,-0.162235,0.279335,0.779157,0.498476,-0.016634,0.009486,0.866692,-0.252659,0.433772,0.428440
100001650000000,-0.164782,0.283708,0.783476,0.498476,-0.016586,0.009466,0.866693,-0.254627,0.437127,0.431840
100001660000000,-0.167349,0.288114,0.787829,0.498477,-0.016538,0.009446,0.866694,-0.256589,0.440473,0.435236
100001670000000,-0.169936,0.292554,0.792216,0.498477,-0.016489,0.009424,0.866695,-0.258544,0.443811,0.438628
100001680000000,-0.172542,0.297027,0.796637,0.498477,-0.016439,0.009401,0.866696,-0.260493,0.447139,0.442015
100001690000000,-0.175168,0.301534,0.801091,0.498478,-0.016388,0.009378,0.866697,-0.262435,0.450458,0.445397
100001700000000,-0.177813,0.306073,0.805580,0.498478,-0.016337,0.009354,0.866698,-0.264370,0.453768,0.448773
100001710000000,-0.180477,0.310646,0.810102,0.498478,-0.016285,0.009330,0.866699,-0.266299,0.457069,0.452144
100001720000000,-0.183161,0.315252,0.814658,0.498479,-0.016231,0.009304,0.866700,-0.268220,0.460359,0.455508
100001730000000,-0.185864,0.319890,0.819248,0.498479,-0.016178,0.009278,0.866701,-0.270135,0.463640,0.458864
100001740000000,-0.188585,0.324561,0.823871,0.498480,-0.016122,0.009251,0.866702,-0.272043,0.466910,0.462214
100001750000000,-0.191326,0.329265,0.828527,0.498480,-0.016067,0.009223,0.866703,-0.273944,0.470169,0.465556
100001760000000,-0.194086,0.334001,0.833217,0.498481,-0.016011,0.009195,0.866704,-0.275837,0.473418,0.468889
100001770000000,-0.196865,0.338770,0.837940,0.498481,-0.015953,0.009165,0.866705,-0.277723,0.476655,0.472214
100001780000000,-0.199662,0.343571,0.842696,0.498482,-0.015895,0.009136,0.866706,-0.279603,0.479882,0.475530
100001790000000,-0.202478,0.348404,0.847486,0.498483,-0.015836,0.009105,0.866707,-0.281474,0.483097,0.478836
100001800000000,-0.205313,0.353270,0.852308,0.498483,-0.015776,0.009074,0.866708,-0.283338,0.486300,0.482132
100001810000000,-0.208167,0.358167,0.857163,0.498484,-0.015715,0.009042,0.866709,-0.285195,0.489492,0.485419
100001820000000,-0.211039,0.363096,0.862051,0.498485,-0.015653,0.009009,0.866710,-0.287044,0.492671,0.488694
100001830000000,-0.213929,0.368057,0.866972,0.498485,-0.015590,0.008975,0.866711,-0.288885,0.495838,0.491959
100001840000000,-0.216838,0.373049,0.871925,0.498486,-0.015526,0.008941,0.866713,-0.290719,0.498992,0.495212
100001850000000,-0.219765,0.378073,0.876910,0.498486,-0.015462,0.008906,0.866714,-0.292544,0.502133,0.498453
100001860000000,-0.222710,0.383128,0.881928,0.498487,-0.015396,0.008870,0.866715,-0.294361,0.505261,0.501683
100001870000000,-0.225673,0.388215,0.886978,0.498488,-0.015330,0.008834,0.866716,-0.296170,0.508376,0.504899
100001880000000,-0.228655,0.393332,0.892061,0.498488,-0.015262,0.008797,0.866717,-0.297971,0.511478,0.508103
100001890000000,-0.231654,0.398481,0.897175,0.498489,-0.015194,0.008760,0.866719,-0.299764,0.514566,0.511294
